,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
2641,1985.01.00.a,1985.01.00,1985,01,11:00,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,Fishing,M,0
2644,1984.12.03,1984.12.03,1984,12,Unknown,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Others,,0
2645,1984.11.30,1984.11.30,1984,11,12:33,AUSTRALIA,Queensland,1 km off Black's Beach,Others,M,1
2646,1984.11.11,1984.11.11,1984,11,Unknown,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,M,0
2647,1984.11.04,1984.11.04,1984,11,Unknown,USA,Florida,"Fowey Rock, Key Biscayne",Fishing,M,0
2648,1984.10.21.b,1984.10.21,1984,10,14:00,USA,Florida,"Wabasso Beach, Indian River County",Swimming,M,1
2649,1984.10.21,1984.10.21,1984,10,13:30,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing,F,0
2650,1984.10.17,1984.10.17,1984,10,12:05,USA,Florida,"Boynton Beach, Palm Beach County",Others,F,0
2651,1984.10.14.a,1984.10.14,1984,10,15:00,USA,Florida,"Bob Graham Beach, Martin County",Surfing,M,0
2652,1984.09.30.b,1984.09.30,1984,09,15:30,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing,M,0
2653,1984.09.30.a,1984.09.30,1984,09,10:00,USA,California,"Tomales Point, Marin County",Surfing,M,0
2654,1984.09.23,1984.09.23,1984,09,14:00,USA,Florida,Volusia County,Surfing,M,0
2655,1984.09.22.b,1984.09.22,1984,09,Unknown,USA,Florida,,Swimming,M,0
2656,1984.09.22.a,1984.09.22,1984,09,Unknown,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,0
2657,1984.09.19,1984.09.19,1984,09,Unknown,USA,Florida,Volusia County,Swimming,,0
2658,1984.09.17,1984.09.17,1984,09,15:30,USA,California,"Mission Beach, San Diego County",Others,M,0
2659,1984.09.15,1984.09.15,1984,09,08:30,USA,California,"Pigeon Point, San Mateo County",Diving,M,1
2660,1984.09.11,1984.09.11,1984,09,17:50,MEXICO,Baja California,Guadalupe Island,Fishing,M,0
2661,1984.08.24,1984.08.24,1984,08,Unknown,USA,Florida,"Off Crystal River, Citrus County",Others,F,1
2662,1984.08.07,1984.08.07,1984,08,Unknown,INDONESIA,,Bali,Others,M,1
2663,1984.07.24.b,1984.07.24,1984,07,14:30,USA,Texas,South Padre Island,Swimming,F,0
2664,1984.07.24.a,1984.07.24,1984,07,12:00,USA,Texas,South Padre Island,Swimming,F,0
2665,1984.07.22,1984.07.22,1984,07,11:00,SOUTH AFRICA,Western Cape Province,Cape Point,Fishing,M,1
2666,1984.07.01,1984.07.01,1984,07,18:00,USA,Florida,,Fishing,M,0
2667,1984.07.00.a,1984.07.00,1984,07,Unknown,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Fishing,M,0
2668,1984.06.15,1984.06.15,1984,06,17:30,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,M,0
2669,1984.06.03.b,1984.06.03,1984,06,17:00,USA,Hawaii,"Kane'ohe Bay, O'ahu",Others,F,0
2670,1984.06.03,1984.06.03,1984,06,Unknown,VANUATU,Malampa Province,"Atchin Island, off Malakula",Swimming,M,1
2671,1984.05.31,1984.05.31,1984,05,13:30,SOUTH AFRICA,Western Cape Province,Arniston,Fishing,M,0
2672,1984.03.17,1984.03.17,1984,03,Unknown,SOMALIA,,,Others,M,1
2673,1984.03.14,1984.03.14,1984,03,17:30,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,M,0
2674,1984.03.10,1984.03.10,1984,03,Unknown,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Others,M,0
2675,1984.03.01,1984.03.01,1984,03,Unknown,AUSTRALIA,Western Australia,Coral Bay,Others,,0
2676,1984.02.18,1984.02.18,1984,02,Unknown,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffrey’s Bay",Fishing,M,0
2677,1984.02.17,1984.02.17,1984,02,09:00,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Diving,M,0
2678,1984.02.12,1984.02.12,1984,02,Unknown,SOUTH AFRICA,Eastern Cape Province,St. George’s Strand,Others,,1
2679,1984.02.11,1984.02.11,1984,02,Unknown,AUSTRALIA,Queensland,Derwent Island,Fishing,M,0
2680,1984.01.05,1984.01.05,1984,01,09:30,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,0
2681,1984.01.04,1984.01.04,1984,01,Unknown,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,Others,F,1
2684,1983.12.30,1983.12.30,1983,12,02:45,GREECE,Andikira Fokithes,,Fishing,M,1
2685,1983.12.25,1983.12.25,1983,12,15:30,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,M,0
2686,1983.12.24,1983.12.24,1983,12,Unknown,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Diving,M,0
2687,1983.12.22,1983.12.22,1983,12,12:30,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,M,0
2688,1983.12.21,1983.12.21,1983,12,08:15,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,0
2689,1983.12.07,1983.12.07,1983,12,Unknown,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Others,M,0
2690,1983.11.21,1983.11.21,1983,11,Unknown,PHILIPPINES,Central Philippines,,Others,M,0
2691,1983.11.10.R,1983.11.10,1983,11,Unknown,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,0
2692,1983.11.10,1983.11.10,1983,11,Unknown,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,F,1
2693,1983.10.17.a,1983.10.17,1983,10,Unknown,USA,Florida,"Stuart Beach, Martin County",Surfing,M,0
2694,1983.10.13,1983.10.13,1983,10,Unknown,USA,Florida,"Daytona Beach, Volusia County",Others,M,0
2695,1983.09.04,1983.09.04,1983,09,Unknown,USA,Florida,"Off Lake Worth, Palm Beach County",Others,M,0
2696,1983.08.20.b,1983.08.20,1983,08,10:00,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,M,0
2697,1983.08.20.a,1983.08.20,1983,08,10:00,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Fishing,M,0
2698,1983.08.15,1983.08.15,1983,08,Unknown,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,F,0
2699,1983.08.13.b,1983.08.13,1983,08,Unknown,USA,Florida,"Riviera Beach, Palm Beach County",Diving,M,0
2700,1983.08.13.a,1983.08.13,1983,08,Unknown,USA,Florida,"6 miles south of Boca Chica Key, Monroe County",Diving,F,0
2701,1983.08.06,1983.08.06,1983,08,Unknown,USA,Rhode Island,,Fishing,,0
2702,1983.07.26,1983.07.26,1983,07,04:00,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming,F,1
2703,1983.07.25.b,1983.07.25,1983,07,Unknown,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming,M,1
2704,1983.07.25.a,1983.07.25,1983,07,Unknown,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Others,M,0
2705,1983.07.15,1983.07.15,1983,07,Unknown,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,M,0
2706,1983.07.12.b,1983.07.12,1983,07,Unknown,USA,Florida,"Caloosahatchee River, Lee County",Surfing,F,0
2707,1983.07.12.a,1983.07.12,1983,07,12:00,BAHAMAS,Abaco Islands,Green Turtle Cay,Fishing,M,0
2708,1983.07.05,1983.07.05,1983,07,Unknown,USA,Florida,"Riviera Beach, Palm Beach County",Others,,0
2709,1983.06.29,1983.06.29,1983,06,11:00,USA,Florida,"Off 12th Street, Miami Beach",Swimming,M,0
2710,1983.06.22,1983.06.22,1983,06,16:00,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Fishing,M,1
2711,1983.06.20,1983.06.20,1983,06,16:30,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,0
2712,1983.06.15,1983.06.15,1983,06,11:00,BAHAMAS,,Carter Cay,Others,M,0
2713,1983.06.15,1983.06.15,1983,06,Unknown,ITALY,Northwest Italy,Riomaggiore (Ligura),Diving,M,0
2714,1983.06.00,1983.06.00,1983,06,17:00,BAHAMAS,Berry Islands,Whale Cay,Fishing,M,0
2715,1983.05.31,1983.05.31,1983,05,Unknown,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Others,M,0
2716,1983.05.24,1983.05.24,1983,05,Unknown,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,M,0
2717,1983.05.21,1983.05.21,1983,05,14:00,USA,Florida,"Haulover Inlet, Dade County",Surfing,M,0
2718,1983.04.19,1983.04.19,1983,04,Unknown,USA,Florida,,Surfing,M,0
